"ClusterId","X","Y","Z"
0,-0.71661,0.58915,0.64204
0,0.18069,1.0867,0.028667
0,-0.49051,-0.07646,0.99866
0,0.87954,-0.86574,-0.28685
0,0.81782,-0.21594,-0.84079
0,0.70555,-0.75731,0.20941
0,0.58071,-0.69964,-0.63214
0,0.94561,0.79457,-0.3545
0,-0.70986,0.8127,0.18496
0,0.20607,0.81828,0.70767
0,0.79393,0.48806,0.54337
0,-0.83304,-0.27733,-0.74149
0,1.0992,-0.42709,-0.40353
0,-0.7946,-0.47704,-0.74954
0,0.61162,0.61586,0.59422
0,-0.73373,-0.55992,0.60279
0,0.67038,0.75221,0.78703
0,-0.7408,-0.43889,-0.6122
0,-0.21723,0.68972,0.76366
0,-0.67948,-0.9835,0.18295
0,0.68736,0.6508,-0.52094
0,0.44295,0.77627,0.74658
0,0.76915,-0.7144,0.38356
0,0.77783,-0.099127,-0.731
0,0.80877,-0.17155,0.98328
0,-0.49408,-1.0669,0.14659
0,-0.81871,-0.46235,-0.63308
0,0.77168,0.71189,-0.020683
0,0.82494,-0.50293,-0.47097
0,-0.054338,-1.231,0.042966
0,-0.55568,-0.77185,0.59985
0,0.54026,0.066407,-0.93333
0,-0.56839,0.057189,0.89826
0,-0.55989,-0.69313,0.63133
0,-0.66051,-0.90063,0.032731
0,-0.28324,-0.89002,-0.52894
0,-0.10866,0.62658,0.88782
0,1.0466,-0.064454,0.40043
0,0.41255,0.86472,0.46627
0,0.56773,-0.84182,0.352
0,-0.8276,0.52066,0.59828
0,0.61413,0.63797,0.72127
0,0.74976,0.26515,-0.74047
0,-1.0919,-0.38002,-0.098927
0,-0.23988,0.93085,-0.5632
0,-0.84823,-0.060967,0.88898
0,0.56071,-0.18965,-1.0898
0,-0.87229,0.67314,-0.41225
0,0.24254,-0.61407,-0.86012
0,0.89874,-0.77993,0.040277
0,0.15492,-0.023349,-1.2309
0,-0.43818,-0.34099,-1.016
0,0.97797,0.3933,0.33055
0,0.64494,-0.58751,0.95756
0,-0.40315,0.19038,-1.0891
0,-0.60175,0.50461,0.84953
0,0.36256,-0.18969,1.1353
0,-0.54689,-0.59061,0.68728
0,-0.20274,-0.28522,1.0946
0,0.94923,-0.77775,-0.44317
0,-1.1144,-0.55089,-0.39725
0,-0.87302,0.27107,0.5571
0,-0.25112,-0.38121,-1.1724
0,0.015667,-0.89198,-0.61044
0,0.38411,1.0278,0.5838
0,-0.079526,0.61348,-0.85385
0,-0.80843,0.027246,0.8897
0,-0.9014,-0.53143,-0.10204
0,0.23288,0.27652,-0.98751
0,1.0278,0.051321,-0.51767
0,-0.82402,0.46285,-0.61543
0,-0.46144,-0.90747,0.44178
0,0.045058,-0.56234,-0.90196
0,0.19105,-0.44042,-1.2082
0,0.70022,-0.78055,-0.54733
0,-0.33479,-0.7851,-0.64072
0,0.61179,-0.15362,-0.8669
0,0.83477,-0.33811,-0.65727
0,-0.41357,-1.1703,0.32007
0,1.152,0.44981,-0.074121
0,-0.50785,0.86326,-0.55602
0,0.74886,-0.15321,-0.77641
0,-0.94746,-0.3527,0.7782
0,0.28377,-0.55366,-0.91048
0,0.62952,0.023498,-1.0057
0,0.74181,-0.50573,-0.62395
0,-0.86668,0.23166,0.72412
0,0.22215,0.83526,0.83782
0,-0.66623,-0.84922,0.58262
0,-0.16351,-0.83036,-0.66462
0,0.45832,-0.92313,-0.32341
0,0.42918,-0.82398,-0.52508
0,0.8388,0.44338,0.87267
0,0.65495,-0.37189,1.0715
0,-0.84783,-0.24055,0.75874
0,-0.0017276,0.87924,-0.7086
0,-0.19299,-1.1946,-0.26014
0,0.93795,-0.13854,-0.55635
0,-0.19275,0.73422,0.96181
0,-0.032471,-0.80852,0.83044
0,-0.30172,0.60018,-0.82026
0,-0.64739,0.86118,-0.082039
0,-0.94518,-0.66072,0.27379
0,0.61544,-0.70331,0.57089
0,0.57114,-0.37642,1.1174
0,-1.0065,0.13593,0.56767
0,-0.96375,-0.077858,-0.77835
0,0.53056,0.60501,0.73521
0,0.6192,0.40346,0.78987
0,0.50098,0.9526,-0.36888
0,-0.89978,0.67846,0.64283
0,-0.85203,0.80046,-0.36411
0,-0.81709,-0.41031,-0.69664
0,-0.40051,-0.54412,-1.0275
0,0.2259,-0.51207,-1.0709
0,-0.8338,-0.56003,0.52921
0,-0.10069,-0.48534,1.022
0,-0.61338,0.70821,-0.80267
0,-0.97689,0.50625,0.39809
0,-0.83965,0.86559,0.020177
0,0.3334,0.58513,-1.0878
0,-0.8256,-0.75157,-0.30849
0,-0.52208,0.51904,-0.74971
0,0.29595,-0.94781,0.58277
0,-0.3289,0.7585,-0.67575
0,0.29002,0.40845,-0.94081
0,-0.30932,-0.93565,0.78073
0,-0.3031,-0.97275,-0.59964
0,0.97669,-0.72463,0.34781
0,0.81547,-0.66915,-0.42067
0,0.22026,-0.83834,0.83352
0,0.95779,0.49725,0.60799
0,-0.0043017,-1.175,0.066737
0,-0.65233,0.89512,0.44517
0,0.26602,-0.95623,-0.41912
0,-1.1089,-0.41803,0.55683
0,-1.0585,0.45199,-0.095348
0,0.17903,-0.22957,-1.1216
0,0.90123,0.4,-0.76874
0,-0.72587,0.014711,0.77293
0,0.73707,-0.4264,0.93717
0,0.10022,1.052,-0.17987
0,0.85243,0.80036,0.49429
0,-0.18769,0.8944,-0.85488
0,1.0771,0.37322,0.40745
0,-0.51462,0.95044,-0.15785
0,-0.94957,-0.19752,-0.43813
0,0.23033,0.85299,-0.88616
0,-0.73683,0.71472,0.72027
0,-0.52629,-1.0014,0.10959
0,0.17467,0.67125,-0.805
0,-0.40692,1.1007,-0.31531
0,0.96135,-0.80353,-0.26184
0,-0.095252,1.0762,0.65248
0,0.75081,-0.13902,-1.0382
0,-0.32704,0.68549,-0.73953
0,-0.88897,0.72484,0.48034
0,0.67149,0.61822,0.70574
0,-0.14715,1.0359,0.45046
0,0.51253,0.5841,-0.7929
0,0.54358,0.24634,-0.94927
0,0.63467,-0.84081,-0.072711
0,0.94013,0.74799,0.45471
0,0.77371,0.49784,0.53754
0,-0.61516,-0.92535,0.38425
0,0.70664,0.88721,0.14196
0,0.30459,0.4906,0.88913
0,-0.38677,0.45135,0.89298
0,-0.5818,0.14415,-1.0797
0,-0.53069,1.0436,-0.28063
0,-0.59744,0.69823,0.68791
0,-1.1057,0.18388,0.3306
0,-0.58516,-0.87475,0.25475
0,0.62579,0.73085,-0.66779
0,0.043843,0.85274,-0.88229
0,-0.96741,0.51049,0.09621
0,0.12506,0.94426,-0.78839
0,-0.1407,-1.0462,-0.69861
0,0.67233,0.86841,0.27203
0,-0.86622,-0.69751,-0.178
0,-0.74954,-0.61668,-0.50792
0,-0.99924,0.21159,0.61362
0,0.76941,0.56165,0.83566
0,0.63442,-0.56178,0.74919
0,-0.68954,0.76441,0.33035
0,1.1175,0.45593,-0.42925
0,0.23681,-0.59863,1.0507
0,-0.97952,0.11338,0.81888
0,1.0181,-0.31241,-0.63047
0,-0.64633,-0.75804,-0.46604
0,0.10386,1.1909,-0.33647
0,-0.97892,-0.5181,-0.41449
0,-1.2251,0.24278,0.20226
0,0.60669,-0.42857,-0.88323
0,0.97361,0.10815,-0.66158
0,-0.16181,1.1707,-0.079422
0,1.0401,-0.57053,0.053612
0,-0.41656,-0.78663,-0.62709
0,0.24091,0.57734,0.8936
0,-0.69048,0.7944,-0.35877
0,-0.90623,-0.51108,-0.34192
0,0.44661,0.78879,0.72724
0,1.0761,-0.14944,-0.33495
0,0.001386,0.883,-0.73443
0,0.78384,-0.2518,-0.95875
0,-0.071514,-0.87151,0.78317
0,-0.074877,1.0659,0.71032
0,0.20786,-0.51742,-1.1701
0,-0.85727,-0.062006,0.85624
0,-0.49811,0.20635,0.91939
0,0.96602,-0.43466,0.016117
0,-0.63551,-0.91332,0.59194
0,-0.83832,0.03275,0.88654
0,-0.76515,-0.89802,-0.32393
0,0.45953,-0.84742,0.44044
0,-0.32362,0.61626,-0.8289
0,0.79869,-0.43556,0.65946
0,0.72972,0.92413,0.43935
0,-0.64154,-0.89087,-0.31681
0,-0.77052,-0.61305,0.51502
0,0.9786,0.07896,0.85399
0,-0.14483,0.53199,0.93851
0,0.89203,-0.78839,0.49885
0,0.94451,-0.27034,0.84664
0,0.53642,-0.89586,-0.20883
0,-0.88841,0.71829,0.21172
0,0.38262,0.48536,0.92979
0,-0.21247,0.3136,-0.99838
0,-0.62185,-0.68717,-0.86995
0,-0.76296,0.77753,0.12247
0,0.74333,-0.88094,0.21783
0,0.86505,-0.3166,-0.57132
0,-0.63084,0.87399,-0.029992
0,-0.46898,0.41922,0.86494
0,0.37695,-0.94133,-0.68538
0,-0.28226,0.84585,0.6918
0,-1.0239,-0.1602,-0.29485
0,-0.25928,0.66095,-0.8282
0,-1.0645,-0.20947,0.5835
0,-0.63796,-0.57895,-0.89879
0,-0.8256,0.28243,0.61604
0,-1.133,-0.010775,-0.24602
0,0.77707,0.51993,0.73708
0,0.85477,0.82826,-0.29233
0,1.1042,0.40158,0.22299
0,-0.74455,0.63352,0.47362
0,-0.68856,0.040468,0.90344
0,0.40982,-0.57578,0.94079
0,-0.28442,-0.71539,0.89205
0,0.41482,1.0325,0.044417
0,-0.46733,0.6904,-0.66924
0,1.088,-0.084623,-0.1756
0,0.7556,-0.78135,0.23291
0,0.24801,0.16761,-1.2159
0,0.76097,0.73658,0.10813
0,-0.76792,0.50869,-0.66375
0,-0.6763,0.37786,-0.85861
0,1.133,0.24371,-0.14286
0,0.45144,-0.0043932,-0.9706
0,-0.33532,-0.94603,0.60082
0,0.10266,-0.23413,-1.0221
0,0.45858,-0.91452,-0.46347
0,-0.90105,0.53593,-0.22454
0,-0.54541,0.54249,-0.72149
0,0.071801,0.81137,-0.68716
0,0.43562,-0.20153,1.1324
0,0.44083,-0.7307,-0.67447
0,-0.19307,0.32357,1.1186
0,-0.1944,1.1465,0.14554
0,-0.76178,0.095521,-0.85498
0,-0.99556,0.19821,0.35469
0,0.76197,0.6574,-0.48324
0,-0.41872,0.41944,-0.94374
0,0.7201,-0.59755,0.84097
0,-0.9302,-0.4045,-0.39005
0,0.22032,0.72856,0.84147
0,0.51673,0.75281,0.65226
0,0.58612,0.46603,0.79229
0,-0.62484,0.12253,-0.86747
0,1.0506,0.6868,-0.35495
0,-0.50853,0.69064,0.6457
0,0.89388,0.12436,0.67929
