x,y,z
1.0498148119556807,1.0196139336815142,0.00867889516283699
0.9356380871266212,0.99435635245188,0.004475284357237972
0.9112265370573297,0.9750949598980103,-0.03266553744378505
0.9499827905044871,0.9519171019740581,0.020720321841856303
0.8920778635328395,0.8693364288017007,-0.00797994022803518
0.8798342004653397,0.8937638518557959,-0.03721562663878394
0.8494480293161738,0.8662283901817082,0.02338296618382298
0.8289317253725114,0.8307333531268128,0.021103975758315564
0.8248230299721816,0.851468609648865,-0.013288145582958391
0.8195039804176375,0.861470230564549,-0.06063785802975317
0.8383547990032179,0.7708287653182532,-0.0023777997332363864
0.7742224007456083,0.7856839978002683,-0.010564069311651023
0.7741581472817809,0.7619097939441346,0.014113717046563643
0.7532133151915283,0.7607351099594342,0.00867894443510691
0.7477942614202275,0.6919109411222942,0.038031365165868906
0.7114031607905593,0.7073012829180406,0.032996981693764464
0.7055904911748578,0.642256429903728,-0.01674582721746479
0.5927901497122445,0.6357954696803949,0.0030973663364325583
0.6341382342275004,0.6382895017078051,-0.000894640938753372
0.6231338706293981,0.6241936628088043,0.0240606142906899
0.6198353212047414,0.6669392464331646,0.010337849526244126
0.5571275800121085,0.6009540497808477,0.014666055384107852
0.5535327029537179,0.524145915700897,0.046527214531180375
0.5300121750473769,0.45701054820037645,0.02812657797296577
0.5236277205407306,0.51960493008208,-0.061203363972568155
0.49576809217328366,0.48894629059371947,0.008364273877794839
0.4511866833752236,0.4460265081601662,-0.04937079272000687
0.47627139030386845,0.4652016011881009,-0.027144849915554332
0.4273768172800619,0.39181292586111655,0.005242837170387175
0.3817704500893856,0.43070462856379804,0.012402798019701379
0.36057306188974597,0.40048598858671663,0.004243763461852086
0.40066077691247387,0.31828792409784235,-0.07366989996278009
0.3502308985758676,0.39640594446120364,0.004409751755992537
0.40374614552822063,0.32521371214723,-0.012472488574264758
0.3687789064056333,0.35310311646977216,0.0008909771899437548
0.3121250428382153,0.29785175592962465,0.032072112084061404
0.30939217538164493,0.269720283402937,0.01903942549927805
0.22795047939892363,0.22484241143083733,0.02102464187615534
0.20871317130444675,0.2627497124674671,0.045067650300517764
0.1911587712032297,0.2570705509851016,0.03279573683133002
0.24441864490059687,0.22910651033935106,-0.022687344609437103
0.18371290797688503,0.18393743951770394,-0.07256474587962916
0.16186161696310697,0.09983872143065917,0.019226280942990417
0.11018447373926878,0.13038609048360836,-0.011495874733688318
0.0619270253747455,0.07655242279245156,0.016344056983282024
