16/12/2006,18:23:00,2.926,0,235.68,12.4,0,1,17,59
17/12/2006,18:23:00,3.612,0.136,235.45,15.2,0,0,17,1499
18/12/2006,18:23:00,2.442,0,236.13,10.2,0,0,17,2939
19/12/2006,18:23:00,2.068,0.388,237.15,9,0,2,17,4379
20/12/2006,18:23:00,2.766,0.256,239.38,12.2,0,1,5,5819
21/12/2006,18:23:00,2.348,0.056,233.41,10,0,0,17,7259
22/12/2006,18:23:00,3.786,0.56,237.58,16.6,0,2,0,8699
23/12/2006,18:23:00,4.192,0.16,236.62,17.6,0,0,17,10139
24/12/2006,18:23:00,0.5,0.12,240.94,2,0,0,0,11579
25/12/2006,18:23:00,1.464,0.154,242.37,6,0,0,0,13019
26/12/2006,18:23:00,3.366,0.22,239.51,14,0,0,17,14459
27/12/2006,18:23:00,2.186,0.1,237.12,9.2,0,0,0,15899
28/12/2006,18:23:00,2.78,0.286,237.37,12,0,0,17,17339
29/12/2006,18:23:00,1.426,0.122,234.44,6,0,0,0,18779
30/12/2006,18:23:00,4.082,0.596,232.3,17.6,0,0,16,20219
31/12/2006,18:23:00,2.386,0.088,231.97,10.2,0,0,0,21659
1/1/2007,18:23:00,1.51,0.134,239.24,6.2,0,0,18,23099
2/1/2007,18:23:00,1.568,0.048,237.86,6.6,0,1,17,24539
3/1/2007,18:23:00,0.25,0.058,242.28,1.2,0,0,0,25979
4/1/2007,18:23:00,2.902,0.272,236.21,12.2,0,5,17,27419
5/1/2007,18:23:00,2.682,0.218,233.7,11.4,0,0,17,28859
6/1/2007,18:23:00,0.898,0.138,236.78,3.8,0,0,0,30299
7/1/2007,18:23:00,5.202,0.438,230.41,22.6,0,37,16,31739
8/1/2007,18:23:00,1.576,0.132,236.49,6.6,0,0,17,33179
9/1/2007,18:23:00,2.244,0.176,239.16,9.4,0,0,17,34619
10/1/2007,18:23:00,3.584,0.412,239.26,15,0,2,17,36059
11/1/2007,18:23:00,4.02,0.374,234.8,17.4,0,0,17,37499
12/1/2007,18:23:00,2.734,0.122,238.34,11.4,0,0,18,38939
13/1/2007,18:23:00,1.808,0.278,237.98,7.6,0,0,0,40379
