"X", "Y"
0.43868549,1.0189435
0.39707363,1.24042045
0.66127051,1.30549689
0.58547972,0.06381097
0.79097615,0.18213045
0.85420942,-0.05963295
0.54434308,1.22534341
0.68989654,0.10259187
-1.34054719,-1.45332727
1.09791387,0.10130841
0.91949161,1.06512123
0.78063563,1.04314026
0.47819286,1.02604367
0.84402799,1.10862871
0.93319664,1.12474298
-1.61666192,-1.19282259
-1.36590813,-1.2926296
-1.65728487,-1.44163675
0.6300119,1.2107034
-1.49832368,-1.42284868
0.6417399,0.25680514
-1.27756256,-1.33571729
0.8290511,1.03228416
0.94467576,1.18442426
0.84246699,0.09622701
0.53171791,1.24561813
0.75973777,0.17522214
0.81871064,0.16221552
0.83145582,-0.05599267
0.78016342,0.07780286
0.69223669,-0.0182886
0.67954493,0.26412352
0.59094541,0.18856188
0.66813836,1.23253709
-1.34785975,-1.27752738
0.7391934,1.03962036
1.08604869,0.27591593
0.57456907,0.03299458
0.66854776,1.37289873
-1.01223373,-1.24694238
0.67510244,-0.10492704
0.58170934,1.26360106
0.48777752,0.34930195
0.80684561,0.14964915
0.79859142,0.0307852
0.83165532,0.25358006
0.75261979,1.06607943
0.98404967,1.28266621
1.1830936,-0.01313277
-1.55807971,-1.24992243
-1.52095849,-1.25443019
0.74886111,1.13908969
-1.28953808,-1.28719352
0.73688361,-0.01788936
0.4664293,0.07706846
0.47799168,0.20571302
-1.45579756,-1.38662373
0.31436944,0.1395116
0.64760175,0.00048494
0.82288388,1.20123614
0.62620264,-0.02220517
-1.58367267,-1.34228589
0.55112567,0.12781124
0.90015706,0.23325445
0.66990624,1.34578428
0.67046572,0.00746868
0.665079,1.00853326
0.95127595,0.26546117
0.77626856,0.31083232
-1.53215504,-1.28896311
-1.60578143,-1.02795861
0.78553742,1.23090701
0.61044937,1.07835187
-1.36420881,-1.12692162
0.48647171,1.08515877
0.90325192,0.02006168
0.5768591,-0.18062658
0.76038177,1.1098449
1.06417346,1.16203956
-1.50287463,-1.18682298
0.92256364,1.37851002
0.92876514,1.18858767
0.95329357,0.15183747
0.63224981,-0.08682045
0.9218478,1.39306884
0.75964713,1.04940639
-1.37495737,-1.14089857
0.7553854,-0.04442281
0.71754849,1.16366149
0.84370577,0.20638053
0.68451033,-0.00413913
0.48668905,0.0659711
0.64816625,0.10285502
0.82517354,0.30283455
0.65822808,-0.07127715
0.63123173,-0.01123685
0.50266692,1.18535739
-1.3757438,-1.19821041
-1.51498475,-1.07560159
-1.20443001,-1.14931668
0.81822929,1.01804133
-1.37946762,-1.26466606
0.47200988,1.22950275
0.85170136,1.10076137
0.81782291,0.02917835
0.69797385,0.05590837
0.46458311,1.03522657
-1.49275772,-1.26815051
0.81931841,1.32333691
-1.36335024,-1.19496548
-1.31449099,-0.97960415
1.10657865,1.1509874
0.45033659,0.07490573
0.90315067,0.02040899
-1.23342049,-1.277817,
0.83686849,0.23001559
0.73110652,1.21597631
0.65921964,1.07447275
-1.16246119,-1.2996624
0.41401904,1.09848358
0.62014104,1.19324573
1.05413275,0.10421079
0.42098893,0.10429029
0.58014723,-0.00563787
0.74363999,1.12768071
0.40765064,0.11375475
-1.38785628,-1.42650899
0.85162409,0.25194629
0.6866994,1.06354865
-1.4582751,-1.3734679
0.75084033,0.1007439
-1.33273819,-1.17187446
0.69859294,1.17475894
0.64801612,1.10875796
0.47411832,0.27688268
0.30210914,0.09570919
-1.36351115,-1.25423673
-1.17983564,-1.0756499
0.88702428,1.03779347
0.71602008,1.31710271
0.39320599,1.23776184
-1.49841887,-1.08960704
0.62446264,0.00505381
0.93983459,0.1241857
0.48906428,1.14960248
-1.34364001,-1.2003771
0.77820532,-0.04484391
-1.34689307,-1.27385324
0.8642878,0.06349906
0.5906636,0.21481364
1.18162816,-0.00555671
-1.35557841,-1.19216345
0.82593997,1.09288578
0.77591985,-0.02787119
0.82180398,1.16245954
0.71819354,0.05091915
0.53970539,1.16188245
0.85927843,-0.11971178
0.73884203,0.08833793
0.69385514,1.08216589
-1.35077677,-1.24815094
0.93155018,1.09508455
-1.31630607,-1.30252117
0.92202231,1.09295089
0.58410707,1.21675206
0.75540818,1.32402781
-1.30701413,-1.19705354
-1.58154073,-1.11136267
-1.21665499,-1.05974416
0.78326433,-0.21104761
0.77716551,1.05911439
-1.45108885,-1.31046627
0.71916328,1.1966924
-1.42839234,-1.41645516
0.72610407,1.16959197
0.63713007,0.05578099
-1.38287671,-1.15402324
-1.45562089,-1.3122622
1.01814558,1.19264726
0.63201054,-0.04546267
0.53790932,0.20062734
0.42790083,1.09608769
0.83646771,1.08350062
0.6013878,0.15190807
-1.1776991,-1.38838125
-1.55182106,-1.38500794
0.41076429,1.18436824
0.81647818,0.04077044
0.83554247,1.25303889
0.66504739,0.99853616
0.56772621,-0.0512505
0.65495269,1.32750344
0.40584746,0.04093951
0.73697122,1.02868845
0.51947594,1.11660662
0.84867702,-0.01467942
0.5961645,0.28651087
-1.33259114,-1.21039725
0.33779321,1.3568146
0.78711207,0.29250708
0.98471535,0.13931006
0.5525232,0.19039043
0.79027179,1.20592574
-1.56272316,-1.3073741
-1.48697619,-1.2520122
-1.61950045,-1.18564887
-1.4692662,-1.23763943
0.63441258,0.19761726
-1.45267496,-1.15067763
0.68916842,1.14099351
-1.53142263,-1.29445808
0.64281729,1.17738994
0.71934596,1.09337603
-1.4414542,-1.26223536
0.82553032,-0.21885976
0.52218784,-0.02097236
0.51053969,-0.00403657
-1.39846525,-1.21264919
-1.41074359,-0.97895189
-1.16499997,-1.42169129
0.57777014,1.42632868
-1.07942796,-1.08059116
0.68256083,1.09402009
0.7038624,0.02962304
0.7484886,-0.1778878
-1.3384484,-1.51972074
-1.44605781,-1.2125735
-1.57018776,-1.21795402
0.70756369,1.01234473
0.48293068,1.03287157
-1.43932853,-1.23407489
0.45219858,-0.03364566
0.77651982,0.27376219
0.77874238,1.27034283
-1.58861125,-1.41477348
-1.3243216,-1.30400396
0.64466987,-0.00145229
-1.50271046,-1.39960918
0.72099874,-0.03368694
0.70218611,-0.12661732
0.75295805,1.05093879
0.56813665,0.02952567
0.77430586,0.95056054
-1.18416323,-1.43867216
-1.37514738,-1.2906308
0.54514683,0.22110613
0.85998059,0.07181033
0.60655914,-0.15866355
-1.47057253,-1.25058751
-1.33744681,-1.41020002
0.88995934,0.11574141
0.79700007,1.2385441
0.71520018,1.08971997
0.73066147,0.08984107
-1.46992387,-1.15193046
-1.6624754,-1.16205227
0.72226287,1.35227058
0.62772213,0.98934574
0.61391818,1.46044543
0.5399962,0.14588695
-1.43208178,-1.35979333
-1.55016226,-1.45392444
-1.4294578,-1.19131422
-1.18780103,-1.05903006
0.69245165,-0.00560563
0.65816761,-0.03001052
-1.16213352,-1.17750166
0.49051192,1.15923054
0.92158744,1.18689426
0.90602121,0.08339274
0.53025044,0.06751029
0.58873245,0.16691996
0.77169415,0.16638966
-1.55977987,-1.5864245
0.72340803,0.17420834
-1.24125455,-1.43651049
0.54529516,0.14345412
0.93039716,0.01275212
0.67724593,1.30647526
0.5072503,0.16537057
0.65101164,1.21718949
0.48886856,1.08963413
0.69063935,0.17930961
-1.4262753,-1.35491653
0.6693287,1.14602294
0.86114201,1.1372955
0.62575457,1.23625272
0.34203636,1.11450577
0.36147741,0.23924369
-1.47509201,-1.20965132
1.01769606,-0.09310757
-1.33064668,-1.29365838
-1.36987279,-1.40640423
0.74635668,1.17170453
0.83334213,1.2730851
0.60632431,1.05497138
0.78459772,0.19114558
1.15617251,0.11334772
0.50433736,0.1112943
0.86392455,1.25424272
0.71220708,0.16770613
-1.52621221,-1.17648225
-1.33543627,-1.57784657
0.6723447,1.23345639
-1.31673208,-1.33986117
0.5821022,0.1519182
0.38264342,1.29297032
0.50611657,1.08765343
0.93963984,0.09511735
0.80131694,1.32307312
0.30848388,1.31507946
0.60670659,1.07308163
0.84119085,1.20828462
0.59156797,-0.06562403
-1.16305295,-1.24390375
-1.31830527,-1.14218244
-1.38829755,-1.0135397
-1.33744343,-1.41823712
0.98391651,0.15306178
-1.37005355,-1.17638141
0.75666956,0.23355005
0.56842039,1.1055089
-1.66405637,-1.21317569
0.79895117,0.06527211
0.92171515,1.29713254
-1.43001135,-1.21044181
0.77154333,1.0242913
0.56755521,1.10368135
0.74799898,1.09096287
0.76035987,1.20173538
0.66749285,0.01990636
-1.63196564,-1.15846332
-1.52972134,-1.44050266
0.67287557,1.35197509
0.52061912,0.08254922
-1.4034114,-1.33517818
0.78613748,0.12691754
0.88867219,-0.05299917
0.76676196,0.02904224
0.67767227,1.29087038
-1.50937404,-1.28308591
-1.26319226,-1.47709284
-1.33168711,-1.07494298
-1.27745222,-1.2755142
0.6553238,-0.0285422
0.88939975,1.30396905
0.59071404,0.00375601
-1.48995479,-1.3368583
0.45821969,0.10148656
-1.28239631,-1.22905976
0.89531518,1.19939498
-1.20001843,-1.25780608
0.30532111,1.25884377
-1.47060486,-1.4126571
0.74809567,0.15557057
1.05547614,0.01315788
-1.18080259,-1.2517865
0.48874352,-0.11995407
0.58460875,-0.06407532
-0.99099765,-1.30524239
0.53873578,0.13043541
-1.17911892,-1.00844884
0.98311966,-0.08638961
-1.50823429,-1.09907999
0.6606458,-0.17557494
0.75173262,-0.07567025
0.71810114,1.30768048
-1.16124594,-0.98513853
-1.13558812,-1.3294415
-1.54986726,-1.06252,
-1.25974653,-1.28605194
-1.54435883,-1.1334104
0.61835899,0.10084193
0.74580542,0.43264128
0.90905351,1.01210272
-1.48972129,-1.3182205
0.60003126,-0.03365516
-1.65504433,-1.18118236
0.56815023,0.96223229
-1.66278284,-0.96636664
0.6040134,1.21066099
0.37526017,1.22372624
-1.39780716,-1.11377108
0.68999193,0.04975855
0.44352823,0.25270019
-1.45193963,-1.37053022
0.63386208,1.41664113
0.70080822,1.32947062
0.487901,0.27897931
0.78871129,1.27021698
-1.345677,-1.36526159
0.66948289,-0.04444569
-1.40893783,-1.28570112
0.67146297,0.94879027
0.26078769,1.16695873
0.81692228,0.12934232
-1.31082366,-1.35789329
-1.07419474,-1.2215163
-1.3413099,-1.12070805
0.6366205,-0.11852034
-1.34308772,-1.05042833
-1.44768983,-1.24383555
0.64799345,1.11669502
-1.43680311,-1.21823789
0.96959619,1.03456048
0.71307893,1.12249858
0.79345066,1.04421227
0.63990367,1.03765033
0.79087802,1.3930529
0.66642696,-0.01147907
0.95820201,0.11054422
0.62240336,0.06619583
0.52548792,1.19783318
-1.42814685,-1.32551934
0.72189709,0.04070736
-1.13833932,-1.30116623
0.74541714,1.19367465
0.69755171,1.43010898
-1.35755445,-1.12198758
-1.32222303,-1.22194901
0.6430579,0.25653954
0.54821323,0.95963117
-1.45299707,-1.31923958
-1.62147191,-1.31470575
1.02707782,1.27300876
0.82164628,0.11729958
0.75495887,0.17543664
0.38000436,1.26775453
0.56794766,0.99797575
